,Link,Download,Event,Date,Match
0,https://www.hltv.org/matches/2322632/furia-vs-no-tem-como-esl-one-belo-horizonte-south-america-closed-qualifier,https://www.hltv.org/download/demo/39676,ESL One Belo Horizonte South America Closed Qualifier,10th of May 2018,FURIA vs. Não Tem Como
1,https://www.hltv.org/matches/2322718/furia-vs-c4-alienware-liga-pro-gamers-club-apr-18,https://www.hltv.org/download/demo/39653,Alienware Liga Pro Gamers Club - APR/18,9th of May 2018,FURIA vs. C4
2,https://www.hltv.org/matches/2322513/furia-vs-virtue-ggbet-ascenso,https://www.hltv.org/download/demo/39650,GG.BET Ascensão,8th of May 2018,FURIA vs. Virtue
3,https://www.hltv.org/matches/2322505/furia-vs-bulldozer-ggbet-ascenso,https://www.hltv.org/download/demo/39630,GG.BET Ascensão,7th of May 2018,FURIA vs. Bulldozer
4,https://www.hltv.org/matches/2322637/furia-vs-sharks-esl-latin-america-league-season-1-finals,https://www.hltv.org/download/demo/39907,ESL Latin America League Season 1 Finals,6th of May 2018,FURIA vs. Sharks
5,https://www.hltv.org/matches/2322043/isurus-vs-furia-esl-brazil-premier-league-season-5,https://www.hltv.org/download/demo/39550,ESL Brazil Premier League Season 5,5th of May 2018,Isurus vs. FURIA
6,https://www.hltv.org/matches/2322042/furia-vs-isurus-esl-brazil-premier-league-season-5,https://www.hltv.org/download/demo/39549,ESL Brazil Premier League Season 5,5th of May 2018,FURIA vs. Isurus
7,https://www.hltv.org/matches/2322483/yeah-vs-furia-alienware-liga-pro-gamers-club-apr-18,https://www.hltv.org/download/demo/39443,Alienware Liga Pro Gamers Club - APR/18,1st of May 2018,Yeah vs. FURIA
8,https://www.hltv.org/matches/2322481/furia-vs-isurus-zotac-cup-masters-2018-south-america-open-qualifier,https://www.hltv.org/download/demo/39478,ZOTAC Cup Masters 2018 South America Open Qualifier,30th of April 2018,FURIA vs. Isurus
9,https://www.hltv.org/matches/2322479/furia-vs-w7m-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/39406,ESL Latin America League Season 1,29th of April 2018,FURIA vs. W7M
10,https://www.hltv.org/matches/2322471/furia-vs-no-tem-como-zotac-cup-masters-2018-south-america-open-qualifier,https://www.hltv.org/download/demo/39417,ZOTAC Cup Masters 2018 South America Open Qualifier,29th of April 2018,FURIA vs. Não Tem Como
11,https://www.hltv.org/matches/2322218/avalanche-vs-furia-alienware-liga-pro-gamers-club-apr-18,https://www.hltv.org/download/demo/39211,Alienware Liga Pro Gamers Club - APR/18,24th of April 2018,Avalanche vs. FURIA
12,https://www.hltv.org/matches/2322033/furia-vs-csbl-esl-brazil-premier-league-season-5,https://www.hltv.org/download/demo/39208,ESL Brazil Premier League Season 5,24th of April 2018,FURIA vs. CSBL
13,https://www.hltv.org/matches/2322032/csbl-vs-furia-esl-brazil-premier-league-season-5,https://www.hltv.org/download/demo/39207,ESL Brazil Premier League Season 5,24th of April 2018,CSBL vs. FURIA
14,https://www.hltv.org/matches/2321866/w7m-vs-furia-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/39182,ESL Latin America League Season 1,23rd of April 2018,W7M vs. FURIA
15,https://www.hltv.org/matches/2321756/furia-vs-w7m-esl-latin-america-league-season-1,https://www.hltv.org/download/demo/39181,ESL Latin America League Season 1,23rd of April 2018,FURIA vs. W7M
16,https://www.hltv.org/matches/2321970/c4-vs-furia-esl-brazil-premier-league-season-5,https://www.hltv.org/download/demo/39043,ESL Brazil Premier League Season 5,17th of April 2018,C4 vs. FURIA
